,name,site_link
222,누워서 하늘 자전거,/entry.naver?docId=3535534&categoryId=58501&cid=58501
223,누워서 수직으로 다리 들어올리기,/entry.naver?docId=3535535&categoryId=58501&cid=58501
224,누워서 공들고 몸 기울이기,/entry.naver?docId=3535536&categoryId=58501&cid=58501
225,누워서 다리 좌우로 움직이기,/entry.naver?docId=3535537&categoryId=58501&cid=58501
226,누워서 팔 다리 동시에 들어올리기,/entry.naver?docId=3535538&categoryId=58501&cid=58501
227,누워서 다리 들어올리기,/entry.naver?docId=3535539&categoryId=58501&cid=58501
228,옆으로 누워 버티기,/entry.naver?docId=3535540&categoryId=58501&cid=58501
229,엎드려 버티기,/entry.naver?docId=3535541&categoryId=58501&cid=58501
230,소파를 이용한 윗몸올리기,/entry.naver?docId=3535542&categoryId=58501&cid=58501
231,짐볼 윗몸올리기,/entry.naver?docId=3535543&categoryId=58501&cid=58501
232,윗몸올리기,/entry.naver?docId=3535544&categoryId=58501&cid=58501
233,누워서 배가로근 수축 I,/entry.naver?docId=3535546&categoryId=58501&cid=58501
234,누워서 배가로근 수축 II,/entry.naver?docId=3535545&categoryId=58501&cid=58501
235,발등굽힘/발바닥굽힘,/entry.naver?docId=3535547&categoryId=58501&cid=58501
236,한발 서서 균형잡기,/entry.naver?docId=3535548&categoryId=58501&cid=58501
237,서서 뒤꿈치 들기,/entry.naver?docId=3535549&categoryId=58501&cid=58501
238,서서 다리로 탄력밴드 당기기 I,/entry.naver?docId=3535551&categoryId=58501&cid=58501
239,서서 다리로 탄력밴드 당기기 II,/entry.naver?docId=3535550&categoryId=58501&cid=58501
240,서서 다리 뒤로 차기,/entry.naver?docId=3535552&categoryId=58501&cid=58501
241,앉아서 엉덩관절 굽히기,/entry.naver?docId=3535553&categoryId=58501&cid=58501
242,의자에 앉아 다리 뻗어 올리기,/entry.naver?docId=3535554&categoryId=58501&cid=58501
243,의자에 한 다리 올리고 앉았다 일어서기,/entry.naver?docId=3535555&categoryId=58501&cid=58501
