name,site_link,운동대상,체력항목,운동형태,운동부위,시설 필요유무
물속에서 걷기,/entry.naver?docId=3535718&categoryId=58501&cid=58501,어르신,심폐지구력,수중운동,하체,Y
스텝박스 이용해 걷기,/entry.naver?docId=3535719&categoryId=58501&cid=58501,어르신,심폐지구력,스텝박스,하체,Y
고정식 자전거 타기,/entry.naver?docId=3535720&categoryId=58501&cid=58501,어르신,심폐지구력,웨이트기계,허벅지,Y
고정식 트레드밀에서 걷기,/entry.naver?docId=3535721&categoryId=58501&cid=58501,어르신,심폐지구력,웨이트기계,전신/하체,Y
폼롤러 밀며 몸 앞으로 숙이기,/entry.naver?docId=3535723&categoryId=58501&cid=58501,어르신,유연성,폼롤러,허리/허벅지내측,Y
폼롤러 앞으로 굴리기,/entry.naver?docId=3535724&categoryId=58501&cid=58501,어르신,유연성,폼롤러,어깨,Y
옆으로 누워 폼롤러 굴려주기,/entry.naver?docId=3535725&categoryId=58501&cid=58501,어르신,유연성,폼롤러,어깨/둔부,Y
가슴 스트레칭,/entry.naver?docId=3535726&categoryId=58501&cid=58501,어르신,유연성,폼롤러,몸통,Y
옆으로 누워 가슴 열기,/entry.naver?docId=3535727&categoryId=58501&cid=58501,어르신,유연성,폼롤러,몸통/복부,Y
팔 교대로 올리기,/entry.naver?docId=3535728&categoryId=58501&cid=58501,어르신,유연성,폼롤러,어깨,Y
어깨 스트레칭,/entry.naver?docId=3535729&categoryId=58501&cid=58501,어르신,유연성,폼롤러,어깨,Y
어깨 올리기,/entry.naver?docId=3535730&categoryId=58501&cid=58501,어르신,유연성,폼롤러,어깨,Y
척추 스트레칭,/entry.naver?docId=3535731&categoryId=58501&cid=58501,어르신,유연성,폼롤러,등/허리,Y
골반 스트레칭1,/entry.naver?docId=3535733&categoryId=58501&cid=58501,어르신,유연성,짐볼,몸통,Y
골반 스트레칭2,/entry.naver?docId=3535732&categoryId=58501&cid=58501,어르신,유연성,짐볼,허벅지,Y
엉덩이 스트레칭,/entry.naver?docId=3535734&categoryId=58501&cid=58501,어르신,유연성,짐볼,둔부/몸통,Y
등 스트레칭,/entry.naver?docId=3535735&categoryId=58501&cid=58501,어르신,유연성,짐볼,등,Y
복부 스트레칭,/entry.naver?docId=3535736&categoryId=58501&cid=58501,어르신,유연성,짐볼,복부,Y
무릎 아래에서 양옆으로 굴리기,/entry.naver?docId=3535737&categoryId=58501&cid=58501,어르신,유연성,짐볼,몸통,Y
짐볼 양팔로 밀기,/entry.naver?docId=3535738&categoryId=58501&cid=58501,어르신,유연성,짐볼,몸통/등,Y
짐볼 옆에 두고 어깨 누르기,/entry.naver?docId=3535739&categoryId=58501&cid=58501,어르신,유연성,짐볼,어깨뒤쪽,Y
짐볼 양옆으로 굴리기,/entry.naver?docId=3535740&categoryId=58501&cid=58501,어르신,유연성,짐볼,몸통,Y
짐볼 앞으로 밀기,/entry.naver?docId=3535741&categoryId=58501&cid=58501,어르신,유연성,짐볼,허리/허벅지뒤쪽/허벅지내측,Y
비복근 스트레칭,/entry.naver?docId=3535742&categoryId=58501&cid=58501,어르신,유연성,의자,종아리,Y
발가락 폄근 스트레칭,/entry.naver?docId=3535743&categoryId=58501&cid=58501,어르신,유연성,의자,종아리,Y
대퇴사두근 스트레칭,/entry.naver?docId=3535744&categoryId=58501&cid=58501,어르신,유연성,의자,허벅지앞쪽,Y
엉덩이 스트레칭,/entry.naver?docId=3535745&categoryId=58501&cid=58501,어르신,유연성,의자,둔부,Y
내전근 스트레칭,/entry.naver?docId=3535746&categoryId=58501&cid=58501,어르신,유연성,의자,허벅지내측,Y
몸 앞으로 굽히기,/entry.naver?docId=3535747&categoryId=58501&cid=58501,어르신,유연성,의자,허리/둔부,Y
옆구리 스트레칭,/entry.naver?docId=3535748&categoryId=58501&cid=58501,어르신,유연성,의자,몸통,Y
등/어깨 뒤쪽 스트레칭,/entry.naver?docId=3535749&categoryId=58501&cid=58501,어르신,유연성,의자,어깨/위팔뒤쪽,Y
팔꿈치 맞닿아 원그리기,/entry.naver?docId=3535750&categoryId=58501&cid=58501,어르신,유연성,의자,어깨/등/가슴,Y
가슴 스트레칭,/entry.naver?docId=3535751&categoryId=58501&cid=58501,어르신,유연성,의자,몸통,Y
목 스트레칭,/entry.naver?docId=3535752&categoryId=58501&cid=58501,어르신,유연성,의자,목,Y
몸통 비틀기,/entry.naver?docId=3535753&categoryId=58501&cid=58501,어르신,유연성,의자,허리/복부,Y
종아리 스트레칭,/entry.naver?docId=3535754&categoryId=58501&cid=58501,어르신,유연성,맨몸,종아리,N
대퇴사두근 스트레칭,/entry.naver?docId=3535756&categoryId=58501&cid=58501,어르신,유연성,맨몸,허벅지앞쪽,N
엉덩이 스트레칭1,/entry.naver?docId=3535757&categoryId=58501&cid=58501,어르신,유연성,맨몸,둔부,N
엉덩이 스트레칭2,/entry.naver?docId=3535755&categoryId=58501&cid=58501,어르신,유연성,맨몸,둔부/몸통,N
대퇴이두근 스트레칭1,/entry.naver?docId=3535759&categoryId=58501&cid=58501,어르신,유연성,맨몸,허리/허벅지뒤쪽,N
대퇴이두근 스트레칭2,/entry.naver?docId=3535758&categoryId=58501&cid=58501,어르신,유연성,맨몸,허리/허벅지뒤쪽,N
고관절 스트레칭,/entry.naver?docId=3535760&categoryId=58501&cid=58501,어르신,유연성,맨몸,몸통,N
마주 앉아 대퇴이두근 스트레칭1,/entry.naver?docId=3535762&categoryId=58501&cid=58501,어르신,유연성,맨몸,허리/허벅지뒤쪽,N
마주 앉아 대퇴이두근 스트레칭2,/entry.naver?docId=3535761&categoryId=58501&cid=58501,어르신,유연성,맨몸,허리/허벅지뒤쪽,N
등 대고 대퇴이두근 스트레칭,/entry.naver?docId=3535763&categoryId=58501&cid=58501,어르신,유연성,맨몸,허리/허벅지뒤쪽,N
몸통 비틀기,/entry.naver?docId=3535764&categoryId=58501&cid=58501,어르신,유연성,맨몸,허리,N
어깨 스트레칭,/entry.naver?docId=3535765&categoryId=58501&cid=58501,어르신,유연성,맨몸,어깨,N
회전근개 스트레칭1,/entry.naver?docId=3535767&categoryId=58501&cid=58501,어르신,유연성,맨몸,어깨,N
회전근개 스트레칭2,/entry.naver?docId=3535766&categoryId=58501&cid=58501,어르신,유연성,맨몸,어깨,N
가슴/어깨 스트레칭,/entry.naver?docId=3535768&categoryId=58501&cid=58501,어르신,유연성,맨몸,어깨/가슴/복부,N
몸통 비틀기,/entry.naver?docId=3535769&categoryId=58501&cid=58501,어르신,유연성,맨몸,허리/복부,N
전신 틀어 손벽 마주치기,/entry.naver?docId=3535770&categoryId=58501&cid=58501,어르신,유연성,맨몸,허리/복부,N
몸통 앞으로 굽혀 걷기,/entry.naver?docId=3535771&categoryId=58501&cid=58501,어르신,유연성,맨몸,허벅지뒤쪽/허리,N
골반 스트레칭1,/entry.naver?docId=3535773&categoryId=58501&cid=58501,어르신,유연성,맨몸,몸통,N
골반 스트레칭2,/entry.naver?docId=3535772&categoryId=58501&cid=58501,어르신,유연성,맨몸,몸통,N
어깨 양 옆으로 돌리기,/entry.naver?docId=3535774&categoryId=58501&cid=58501,어르신,유연성,맨몸,어깨,N
어깨 스트레칭,/entry.naver?docId=3535775&categoryId=58501&cid=58501,어르신,유연성,맨몸,어깨,N
회전근개 스트레칭,/entry.naver?docId=3535776&categoryId=58501&cid=58501,어르신,유연성,맨몸,어깨,N
목 돌림 스트레칭,/entry.naver?docId=3535777&categoryId=58501&cid=58501,어르신,유연성,맨몸,목,N
양팔 벌려 전신 비틀기,/entry.naver?docId=3535778&categoryId=58501&cid=58501,어르신,유연성,맨몸,전신,N
옆구리 스트레칭,/entry.naver?docId=3535779&categoryId=58501&cid=58501,어르신,유연성,맨몸,몸통,N
배 스트레칭,/entry.naver?docId=3535780&categoryId=58501&cid=58501,어르신,유연성,맨몸,복부,N
허리 스트레칭,/entry.naver?docId=3535781&categoryId=58501&cid=58501,어르신,유연성,맨몸,허리,N
넙다리 안쪽 스트레칭,/entry.naver?docId=3535782&categoryId=58501&cid=58501,어르신,유연성,맨몸,허벅지내측,N
넙다리 앞쪽 스트레칭,/entry.naver?docId=3535783&categoryId=58501&cid=58501,어르신,유연성,맨몸,허벅지앞쪽,N
엉덩이 스트레칭1,/entry.naver?docId=3535785&categoryId=58501&cid=58501,어르신,유연성,맨몸,둔부,N
엉덩이 스트레칭2,/entry.naver?docId=3535784&categoryId=58501&cid=58501,어르신,유연성,맨몸,둔부,N
아래 팔 스트레칭,/entry.naver?docId=3535786&categoryId=58501&cid=58501,어르신,유연성,맨몸,아래팔앞쪽/아래팔뒤쪽,N
어깨 뒤쪽 스트레칭,/entry.naver?docId=3535787&categoryId=58501&cid=58501,어르신,유연성,맨몸,어깨뒤쪽,N
등/어깨 뒤쪽 스트레칭,/entry.naver?docId=3535788&categoryId=58501&cid=58501,어르신,유연성,맨몸,어깨,N
목 스트레칭,/entry.naver?docId=3535789&categoryId=58501&cid=58501,어르신,유연성,맨몸,목,N
깍지 끼고 상체 숙이기,/entry.naver?docId=3535790&categoryId=58501&cid=58501,어르신,유연성,맨몸,전신/가슴/어깨뒤쪽/등,N
누워서 전신 뻗기,/entry.naver?docId=3535791&categoryId=58501&cid=58501,어르신,유연성,맨몸,전신,N
균형 걷기,/entry.naver?docId=3535793&categoryId=58501&cid=58501,어르신,평형성,맨몸,전신,N
한발 들기,/entry.naver?docId=3535794&categoryId=58501&cid=58501,어르신,평형성,맨몸,전신,N
좌우 찍기,/entry.naver?docId=3535795&categoryId=58501&cid=58501,어르신,평형성,맨몸,전신,N
양발 나란히 서기,/entry.naver?docId=3535796&categoryId=58501&cid=58501,어르신,평형성,맨몸,전신,N
짐볼 앉기,/entry.naver?docId=3535915&categoryId=58501&cid=58501,어르신,평형성,짐볼,전신,Y
탄력밴드 걸고 서기,/entry.naver?docId=3535916&categoryId=58501&cid=58501,어르신,평형성,탄력밴드,전신,Y
베개 밟고 서기,/entry.naver?docId=3535917&categoryId=58501&cid=58501,어르신,평형성,베개,전신,Y
의자 잡고 서기,/entry.naver?docId=3535918&categoryId=58501&cid=58501,어르신,평형성,의자,전신,Y
의자 앉아 공 밀기,/entry.naver?docId=3535798&categoryId=58501&cid=58501,어르신,협응력,의자/공,전신,Y
풍선차기,/entry.naver?docId=3535799&categoryId=58501&cid=58501,어르신,협응력,풍선,전신,Y
의자 이용하기,/entry.naver?docId=3535800&categoryId=58501&cid=58501,어르신,협응력,의자,전신,Y
사다리 걷기,/entry.naver?docId=3535914&categoryId=58501&cid=58501,어르신,협응력,사다리,전신,Y
발로 공주고 받기,/entry.naver?docId=3535801&categoryId=58501&cid=58501,어르신,협응력,공,전신,Y
줄 따라 걷기,/entry.naver?docId=3535802&categoryId=58501&cid=58501,어르신,협응력,줄,전신,Y
하프콘 투호,/entry.naver?docId=3535803&categoryId=58501&cid=58501,어르신,협응력,하프콘,전신,Y
스카프 라인,/entry.naver?docId=3535804&categoryId=58501&cid=58501,어르신,협응력,스카프,전신,Y
스카프 저글링,/entry.naver?docId=3535805&categoryId=58501&cid=58501,어르신,협응력,스카프,전신,Y
성화봉송,/entry.naver?docId=3535806&categoryId=58501&cid=58501,어르신,협응력,라바콘/공,전신,Y
풍선 튕기기,/entry.naver?docId=3535807&categoryId=58501&cid=58501,어르신,협응력,풍선,전신,Y
머리 위로 공 넘기기,/entry.naver?docId=3535808&categoryId=58501&cid=58501,어르신,협응력,공,전신,Y
발바닥 치기,/entry.naver?docId=3535809&categoryId=58501&cid=58501,어르신,협응력,맨몸,전신,N
앞뒤로 선넘기,/entry.naver?docId=3535810&categoryId=58501&cid=58501,어르신,협응력,맨몸,전신,N
좌우로 선넘기,/entry.naver?docId=3535811&categoryId=58501&cid=58501,어르신,협응력,맨몸,전신,N
