name,site_link,운동대상,체력항목,운동형태,운동부위,시설 필요유무
앉아서 어깨 위로 밀기,/entry.naver?docId=3535690&categoryId=58501&cid=58501,어르신,근력/근지구력,웨이트기계,어깨,Y
서서 팔꿈치 펴기,/entry.naver?docId=3535691&categoryId=58501&cid=58501,어르신,근력/근지구력,웨이트기계,위팔뒤쪽,Y
앉아서 팔꿈치 굽히기,/entry.naver?docId=3535692&categoryId=58501&cid=58501,어르신,근력/근지구력,웨이트기계,위팔앞쪽,Y
앉아서 가슴 모으기,/entry.naver?docId=3535693&categoryId=58501&cid=58501,어르신,근력/근지구력,웨이트기계,몸통,Y
앉아서 당겨 내리기,/entry.naver?docId=3535694&categoryId=58501&cid=58501,어르신,근력/근지구력,웨이트기계,등,Y
바벨 당겨 올리기,/entry.naver?docId=3535695&categoryId=58501&cid=58501,어르신,근력/근지구력,프리웨이트,어깨뒤쪽,Y
누워서 가슴 밀기,/entry.naver?docId=3535696&categoryId=58501&cid=58501,어르신,근력/근지구력,웨이트기계,몸통,Y
덤벨 잡고 몸통 옆으로 굽히기,/entry.naver?docId=3535697&categoryId=58501&cid=58501,어르신,근력/근지구력,프리웨이트,몸통,Y
앉아서 뒤로 당기기,/entry.naver?docId=3535698&categoryId=58501&cid=58501,어르신,근력/근지구력,웨이트기계,등,Y
몸통 들어올리기,/entry.naver?docId=3535699&categoryId=58501&cid=58501,어르신,근력/근지구력,웨이트기계,허리,Y
앉아서 몸통 움츠리기,/entry.naver?docId=3535700&categoryId=58501&cid=58501,어르신,근력/근지구력,웨이트기계,복부,Y
서서 다리 모으고 벌리기,/entry.naver?docId=3535701&categoryId=58501&cid=58501,어르신,근력/근지구력,웨이트기계,하체,Y
덤벨 잡고 한발 내밀어 굽혔다 펴기,/entry.naver?docId=3535702&categoryId=58501&cid=58501,어르신,근력/근지구력,프리웨이트,몸통/둔부,Y
덤벨 잡고 뒤꿈치 들기,/entry.naver?docId=3535703&categoryId=58501&cid=58501,어르신,근력/근지구력,프리웨이트,종아리,Y
앉아서 다리 밀기,/entry.naver?docId=3535704&categoryId=58501&cid=58501,어르신,근력/근지구력,웨이트기계,허벅지,Y
엎드려서 다리 굽히기,/entry.naver?docId=3535705&categoryId=58501&cid=58501,어르신,근력/근지구력,웨이트기계,허벅지뒤쪽,Y
앉아서 다리 펴기,/entry.naver?docId=3535706&categoryId=58501&cid=58501,어르신,근력/근지구력,웨이트기계,허벅지앞쪽,Y
바벨 잡고 들어올리기,/entry.naver?docId=3535707&categoryId=58501&cid=58501,어르신,근력/근지구력,프리웨이트,하체,Y
덤벨 잡고 앉았다 일어서기,/entry.naver?docId=3535708&categoryId=58501&cid=58501,어르신,근력/근지구력,프리웨이트,하체,Y
수영,/entry.naver?docId=3535710&categoryId=58501&cid=58501,어르신,심폐지구력,수중운동,전신,Y
아쿠아로빅 루틴 프로그램,/entry.naver?docId=3535711&categoryId=58501&cid=58501,어르신,심폐지구력,수중운동,전신,Y
아쿠아로빅-몸 기울이기/회전하기,/entry.naver?docId=3535712&categoryId=58501&cid=58501,어르신,심폐지구력,수중운동,전신,Y
아쿠아로빅-발 닿기,/entry.naver?docId=3535713&categoryId=58501&cid=58501,어르신,심폐지구력,수중운동,전신,Y
아쿠아로빅-물누르기/올리기,/entry.naver?docId=3535714&categoryId=58501&cid=58501,어르신,심폐지구력,수중운동,어깨/가슴,Y
아쿠아로빅-옆구리 늘리기,/entry.naver?docId=3535715&categoryId=58501&cid=58501,어르신,심폐지구력,수중운동,몸통,Y
아쿠아로빅-물당기기/밀기,/entry.naver?docId=3535716&categoryId=58501&cid=58501,어르신,심폐지구력,수중운동,등/몸통,Y
아쿠아로빅-엉덩관절 회전하기,/entry.naver?docId=3535717&categoryId=58501&cid=58501,어르신,심폐지구력,수중운동,몸통,Y
