,TEST_CNT,CENTER_NM,AGE_GBN,TEST_GBN,TEST_AGE,INPUT_GBN,CERT_GBN,TEST_YMD,PRES_NOTE,TEST_SEX,kind_age
5405,1,부천,성인,일반,40,관리자,3등급,20211026,"준비운동:V자 싸이클,팔다리 교차 버티기,엎드려 버티기,누워서 다리 들어올리기,누워서 팔 다리 동시에 들어올리기,누워서 엉덩이 들어올리기",F,40대
5418,1,원주,성인,일반,49,관리자,3등급,20211026,"준비운동:깍지 끼고 상체 숙이기,목 스트레칭,등/어깨 뒤쪽 스트레칭,어깨 뒤쪽 스트레칭,아래 팔 스트레칭 / 본운동:몸통 들어올리기,소파를 이용한 윗몸올리기,엎드려 버티기,옆으로 누워 버티기,네발기기 자세로 팔 다리 들기,엎드려서 팔 다리 들기 / 마무리운동:깍지 끼고 상체 숙이기,목 스트레칭,등/어깨 뒤쪽 스트레칭,아래 팔 스트레칭,넙다리 안쪽 스트레칭,허리 스트레칭",F,40대
5431,1,강북,성인,출장,48,관리자,3등급,20211018,"준비운동:팔굽혀펴기,뒤로 팔굽혀펴기,팔꿈치 굽히기,물병 옆으로 들어올리기,누워서 엉덩이 들어올리기,엎드려 버티기,윗몸올리기 ,유산소 운동 전 동적 루틴 스트레칭,하지 루틴 스트레칭2,허리 스트레칭",F,40대
5441,1,구미,성인,출장,40,관리자,3등급,20211015,"준비운동:달리기,실내 자전거타기,계단 올라갔다 내려오기,수영 / 본운동:앉았다 일어서기,한발 앞으로 내밀고 앉았다 일어서기,의자에 한 다리 올리고 앉앗다 일어서기,서서 다리 뒤로 차기",F,40대
5577,1,동구(인천),성인,출장,42,관리자,3등급,20211013,"준비운동:계단 올라갔다 내려오기 / 본운동:계단 올라갔다 내려오기,스텝퍼 오르내리기,뒤꿈치 들기 / 마무리운동:계단 올라갔다 내려오기",M,40대
5631,2,마포,성인,일반,48,관리자,3등급,20211013,"준비운동:전신 루틴 스트레칭,유산소 운동 전 동적 루틴 스트레칭 / 본운동:달리기,실내 자전거타기,트레드밀에서 걷기,계단 올라갔다 내려오기,턱걸이,허리 굽혀 덤벨 들기,고정한 상태에서 덤벨 들고 팔꿈치 굽히기,덤벨 옆으로 들어올리기,허리 굽혀 팔 뒤로 들기,물병 옆으로 들어올리기 / 마무리운동:작은 공을 이용한 동적 루틴 스트레칭 ,자가근막이완술 루틴 스트레칭",M,40대
5632,1,남구(울산),성인,일반,40,관리자,3등급,20211013,"준비운동:목 스트레칭,등/어깨 뒤쪽 스트레칭,아래 팔 스트레칭,옆으로 누워 가슴 열기 / 본운동:머신이용 근력운동 루틴프로그램,팔굽혀 펴기,누워 다리 들어올리기,서서 상체 일으키기,윗몸올리기 ,엎드려 버티기,누워서 공들고 몸 기울이기",F,40대
5952,1,마포,성인,일반,40,관리자,3등급,20211007,"본운동:앉아서 다리 밀기,앉아서 다리 펴기,윗몸 말아 올리기,서서 상체 일으키기,앉았다 일어서기,달리기,실내 자전거타기,계단 올라갔다 내려오기,수영,목 스트레칭,등/어깨 뒤쪽 스트레칭,허리 스트레칭,넙다리 뒤쪽 스트레칭",F,40대
5987,1,오산,성인,일반,43,관리자,3등급,20211014,"준비운동:전신 루틴 스트레칭,유산소 운동 전 동적 루틴 스트레칭 / 본운동:팔벌려뛰기,누워서 배가로근 수축 I,윗몸올리기 ,엎드려 버티기,팔굽혀펴기,누워서 엉덩이 들어올리기,한발 앞으로 내밀고 앉았다 일어서기 / 마무리운동:하지 루틴 스트레칭1,전신 루틴 스트레칭",M,40대
5996,3,남구(부산),성인,일반,40,관리자,3등급,20211014,"본운동:달리기,실내 자전거타기,트레드밀에서 걷기,줄넘기,수영,계단 올라갔다 내려오기",M,40대
6133,1,남구(울산),성인,일반,44,관리자,3등급,20211013,"준비운동:목 스트레칭,등/어깨 뒤쪽 스트레칭,아래 팔 스트레칭,옆으로 누워 가슴 열기 / 본운동:머신이용 근력운동 루틴프로그램,팔굽혀 펴기,누워 다리 들어올리기,서서 상체 일으키기,윗몸올리기 ,엎드려 버티기,누워서 공들고 몸 기울이기",F,40대
6140,1,남구(울산),성인,일반,49,관리자,3등급,20211013,"준비운동:목 스트레칭,등/어깨 뒤쪽 스트레칭,아래 팔 스트레칭,옆으로 누워 가슴 열기 / 본운동:머신이용 근력운동 루틴프로그램,팔굽혀 펴기,누워 다리 들어올리기,서서 상체 일으키기,윗몸올리기 ,엎드려 버티기,누워서 공들고 몸 기울이기",M,40대
6273,1,의정부,성인,일반,48,관리자,3등급,20211013,"준비운동:하지 루틴 스트레칭2,전신 루틴 스트레칭,맨몸운동  루틴프로그램",F,40대
6329,1,경산,성인,일반,47,관리자,3등급,20211005,"준비운동:복식호흡,모관운동,허리 스트레칭,배스트레칭,옆구리 스트레칭,다리굽혀 허리 비틀기,엉덩이 스트레칭,몸통 스트레칭,엉덩이 스트레칭,엎드려 한발 원 그리기,고양이 자세,아기자세 / 본운동:누워서 배가로근 수축 I,누워서 엉덩이 들어올리기,엎드려서 팔 다리 들기,네발기기 자세로 팔 다리 들기",M,40대
6417,2,동구(인천),성인,출장,40,관리자,3등급,20211005,"준비운동:자가근막이완술 루틴 스트레칭 / 본운동:한발 앞으로 내밀고 앉았다 일어서기,바벨 끌어당기기 / 마무리운동:전신 루틴 스트레칭",M,40대
6418,3,동구(인천),성인,출장,44,관리자,3등급,20211005,"준비운동:자가근막이완술 루틴 스트레칭 / 본운동:한발 앞으로 내밀고 앉았다 일어서기,바벨 끌어당기기 / 마무리운동:전신 루틴 스트레칭",M,40대
6422,2,동구(인천),성인,출장,43,관리자,3등급,20211005,"준비운동:자가근막이완술 루틴 스트레칭 / 본운동:한발 앞으로 내밀고 앉았다 일어서기,바벨 끌어당기기 / 마무리운동:전신 루틴 스트레칭",F,40대
6427,2,동구(인천),성인,출장,49,관리자,3등급,20211005,"준비운동:자가근막이완술 루틴 스트레칭 / 본운동:한발 앞으로 내밀고 앉았다 일어서기,바벨 끌어당기기 / 마무리운동:전신 루틴 스트레칭",M,40대
6435,2,동구(인천),성인,출장,47,관리자,3등급,20211005,"준비운동:자가근막이완술 루틴 스트레칭 / 본운동:한발 앞으로 내밀고 앉았다 일어서기,바벨 끌어당기기 / 마무리운동:전신 루틴 스트레칭",F,40대
6440,1,KSPO대구,성인,일반,49,관리자,3등급,20211012,"본운동:실내 자전거타기,트레드밀에서 걷기",M,40대
6510,2,광주,성인,일반,40,관리자,3등급,20211006,"준비운동:실내 자전거타기,트레드밀에서 걷기,줄넘기,계단 올라갔다 내려오기 / 본운동:머신이용 근력운동 루틴프로그램,바벨 잡고 들어올리기,버피 테스트 / 마무리운동:골반 스트레칭2,폼롤러 이용 유연성운동 루틴 프로그램,의자이용 유연성운동 루틴 프로그램,엉덩이 스트레칭,전신 루틴 스트레칭",F,40대
6540,1,창원,성인,일반,41,관리자,3등급,20211008,"준비운동:정적 스트레칭  루틴프로그램 / 본운동:밴드 잡고 몸통 옆으로 굽히기,서서 상체 일으키기,몸통 들어올리기,윗몸올리기 ,네발기기 자세로 팔 다리 들기,엎드려서 팔 다리 들기,누워 무릎 기울기,엎드려 팔다리 교차올리기,크런치 사이클,엎드려 버티기,누워서 팔 다리 동시에 들어올리기",M,40대
6547,2,동구(인천),성인,출장,41,관리자,3등급,20211005,"준비운동:자가근막이완술 루틴 스트레칭 / 본운동:한발 앞으로 내밀고 앉았다 일어서기,바벨 끌어당기기 / 마무리운동:전신 루틴 스트레칭",F,40대
6553,1,동구(인천),성인,출장,42,관리자,3등급,20211005,"준비운동:자가근막이완술 루틴 스트레칭 / 본운동:한발 앞으로 내밀고 앉았다 일어서기,바벨 끌어당기기 / 마무리운동:전신 루틴 스트레칭",F,40대
6698,1,동구(인천),성인,출장,41,관리자,3등급,20211005,"준비운동:자가근막이완술 루틴 스트레칭 / 본운동:한발 앞으로 내밀고 앉았다 일어서기,바벨 끌어당기기 / 마무리운동:전신 루틴 스트레칭",M,40대
6717,4,동작,성인,일반,49,관리자,3등급,20211006,"준비운동:달리기,계단 올라갔다 내려오기,앉아서 당겨 내리기,앉아서 위로 밀기,바벨들어올리기,앉았다 일어서기,실내 자전거타기",F,40대
